"ABANDONMENT RATE","ABANDONMENT RATE"
"April","April"
"August","August"
"Billing","Billing"
"COMPLETED CHECKOUT","COMPLETED CHECKOUT"
"December","December"
"ENTERED CHECKOUT","ENTERED CHECKOUT"
"February","February"
"January","January"
"July","July"
"June","June"
"Login","Login"
"March","March"
"May","May"
"My Abandoned Cart %s is now available","My Abandoned Cart %s is now available"
"November","November"
"October","October"
"Payment","Payment"
"Review","Review"
"September","September"
"Shipping","Shipping"
"Shipping Method","Shipping Method"
"TIPS!:","TIPS!:"
"Your version of My Abandoned Cart is currently not up-to-date. Please <a href=\"%s\">click here</a> to get the latest version.","Your version of My Abandoned Cart is currently not up-to-date. Please <a href=\"%s\">click here</a> to get the latest version."
